city_name,city_id,lat,lon,unix_dt,temp_max_c,temp_max_f,humidity,cloudiness,windspeed
Sambava,1056899,-14.27,50.17,1579899215,22.48,72.464,98,100,0.69
Pangnirtung,6096551,66.15,-65.71,1579899215,-33.0,-27.4,67,20,1.14
Nizhniy Tsasuchey,2019118,50.52,115.13,1579899215,-21.79,-7.222000000000001,87,0,1.58
Luderitz,3355672,-26.65,15.16,1579899216,21.0,69.80000000000001,83,0,3.1
Fort Nelson,5955902,58.81,-122.7,1579899216,-13.0,8.599999999999998,92,90,2.6
Tromso,6453316,69.65,18.96,1579899216,-1.0,30.2,80,75,3.6
Magadan,2123628,59.57,150.8,1579899216,-27.83,-18.094,76,0,5.17
Lebu,3883457,-37.62,-73.65,1579899216,20.08,68.144,37,0,5.65
Kristiansund,6453331,63.11,7.73,1579899216,3.0,37.4,64,100,17.5
Quixada,3390907,-4.97,-39.02,1579899066,28.11,82.598,66,77,2.36
Dikson,1507390,73.51,80.55,1579899196,-20.57,-5.026000000000003,96,100,4.73
Kiama,2161515,-34.68,150.87,1579899217,23.33,73.994,100,90,3.1
Talnakh,1490256,69.49,88.4,1579898618,-14.0,6.800000000000001,77,100,6.0
Porto Belo,3452900,-27.16,-48.55,1579899217,27.22,80.99600000000001,74,20,5.7
Esperance,2071860,-33.87,121.9,1579899217,16.0,60.8,100,90,3.6
Bernau bei Berlin,2950096,52.68,13.59,1579899217,1.67,35.006,70,75,3.6
Leningradskiy,2123814,69.38,178.42,1579899218,-30.71,-23.278000000000006,73,0,0.69
Sidmouth,2637853,50.69,-3.24,1579899218,7.22,44.996,93,75,1.0
Swinoujscie,3083955,53.91,14.25,1579899218,3.33,37.994,93,90,3.6
Santa Isabel do Rio Negro,3662489,-0.41,-65.02,1579899218,31.61,88.898,60,98,1.09
Billings,5640350,45.78,-108.5,1579899190,11.67,53.006,34,75,6.2
Katsuura,2112309,35.13,140.3,1579898636,8.0,46.4,45,75,7.2
Nouadhibou,2377457,20.93,-17.03,1579898630,19.0,66.2,63,100,6.7
Kassala,372753,15.45,36.4,1579899219,14.18,57.524,54,0,2.28
Muros,3115824,42.78,-9.06,1579899219,10.56,51.008,87,40,1.05
